Requisition Reference,Position Title,Status,Level 1,Level 2,Location,Positions,Job Type,Industry,Recruiter,Originator,Date Created,Date Approved,Date Released,Date Filled,Recruitment Stage,Number of Applications,Number of Current Apps
6537,Developers,APPROVED,ajskdh kjsdhfjh,ajskdh kjsdhfjh,bownrb,6,Permanent,,Resource Team,Resource Team,15-Mar-16,15-Jun-16,,,Screening,0,0
6621,Developer,DRAFT,ajskdh kjsdhfjh,ajskdh kjsdhfjh,,,,,,,15-Jun-17,,,,Screening,0,0
4989,Tester,APPROVED,kjnkjsdgg,kjnkjsdgg,akbwkbnbs,2,Permanent,,Resource Team,Resource Team,14-Apr-16,14-Aug-16,,,Screening,3,0
5231,Parcels,APPROVED,oisngoun,oisngoun,akbwkbnbs,2,Permanent,,Resource Team,Resource Team,13-Jan-16,13-Sep-16,,,Screening,0,0
6969,Parcels,APPROVED,oisngoun,oisngoun,akbwkbnbs,1,Permanent,,Resource Team,Resource Team,19-Feb-16,21-Apr-17,,,Screening,0,0
7168,Parcels,APPROVED,oisngoun,oisngoun,akbwkbnbs,1,Permanent,,Resource Team,Resource Team,21-Jul-16,13-Aug-16,,,Screening,0,0
8786,Parcels ST ,APPROVED,oisngoun,oisngoun,hjvalkne,1,Permanent,,Resource Team,Resource Team,19-Apr-16,26-Oct-17,,,Screening,0,0
4184,Parcels Shadowfax ,APPROVED,oisngoun,oisngoun,akbwkbnbs,2,Permanent,,Resource Team,Resource Team,1-Jul-16,6-Nov-16,,,Screening,0,0
9533,Parcels 2,APPROVED,oisngoun,oisngoun,akbwkbnbs,2,Permanent,,Resource Team,Resource Team,15-Mar-16,15-Jun-17,,,Screening,0,0
7073,Parcels 3,APPROVED,oisngoun,oisngoun,akbwkbnbs,1,Permanent,,Resource Team,Resource Team,15-Jun-17,,,,Screening,0,0
7793,Parcels Ph2,APPROVED,oisngoun,oisngoun,akbwkbnbs,1,Permanent,,Resource Team,Resource Team,14-Apr-16,14-Aug-16,,,Screening,0,0
9081,Parcels Ph3,APPROVED,oisngoun,oisngoun,akbwkbnbs,1,Permanent,,Resource Team,Resource Team,13-Jan-16,13-Sep-16,,,Screening,0,0
6776,Parcels ST,APPROVED,oisngoun,oisngoun,akbwkbnbs,1,Permanent,,Resource Team,Resource Team,19-Feb-16,21-Apr-16,,,Screening,0,0
6981,Parcels ST ,APPROVED,oisngoun,oisngoun,akbwkbnbs,1,Permanent,,Resource Team,Resource Team,21-Jul-16,13-Aug-16,,,Screening,0,0
5202,Parcels ST,APPROVED,oisngoun,oisngoun,akbwkbnbs,1,Permanent,,Resource Team,Resource Team,19-Apr-16,26-Oct-17,,,Screening,0,0
9437,Coach ,APPROVED,fjaksdbadshfkjh,fjaksdbadshfkjh,akbwkbnbs,,Permanent,,dhsvke bseihnknw,dhsvke bseihnknw,1-Jul-16,6-Nov-16,,,New,13,13
6229,Developer,APPROVED,fjaksdbadshfkjh,fjaksdbadshfkjh,pianfbrwj,1,Permanent,,Resource Team,Resource Team,15-Mar-16,14-Aug-16,,,Candidate proposed,1,1
